fecha,n_pedidos
2018-10-29,20
2018-10-30,16
2018-10-31,29
2018-11-01,25
2018-11-02,62
2018-11-03,66
2018-11-04,36
2018-11-05,20
2018-11-06,21
2018-11-07,30
2018-11-08,23
2018-11-09,46
2018-11-10,75
2018-11-11,29
2018-11-12,21
2018-11-13,18
2018-11-14,17
2018-11-15,19
2018-11-16,64
2018-11-17,58
2018-11-18,32
2018-11-19,15
2018-11-20,17
2018-11-21,20
2018-11-22,11
2018-11-23,43
2018-11-24,68
2018-11-25,32
2018-11-26,17
2018-11-27,12
2018-11-28,25
2018-11-29,16
2018-11-30,67
2018-12-01,68
2018-12-02,45
2018-12-03,11
2018-12-04,10
2018-12-05,15
2018-12-06,20
2018-12-07,54
2018-12-08,61
2018-12-09,34
2018-12-10,19
2018-12-11,13
2018-12-12,17
2018-12-13,32
2018-12-14,56
2018-12-15,90
2018-12-16,32
2018-12-17,14
2018-12-18,16
2018-12-19,33
2018-12-20,27
2018-12-21,54
2018-12-22,78
2018-12-23,45
2018-12-24,52
2018-12-26,25
2018-12-27,32
2018-12-28,37
2018-12-29,41
2018-12-30,37
2018-12-31,75
2019-01-01,30
2019-01-02,21
2019-01-03,17
2019-01-04,65
2019-01-05,69
2019-01-06,25
2019-01-07,15
2019-01-08,23
2019-01-09,16
2019-01-10,18
2019-01-11,38
2019-01-12,73
2019-01-13,24
2019-01-14,19
2019-01-15,16
2019-01-16,15
2019-01-17,18
2019-01-18,46
2019-01-19,92
2019-01-20,23
2019-01-21,13
2019-01-22,13
2019-01-23,15
2019-01-24,21
2019-01-25,54
2019-01-26,77
2019-01-27,33
2019-01-28,15
2019-01-29,15
2019-01-30,30
2019-01-31,30
2019-02-01,57
2019-02-02,80
2019-02-03,32
2019-02-04,23
2019-02-05,21
2019-02-06,19
2019-02-07,24
2019-02-08,56
2019-02-09,66
2019-02-10,35
2019-02-11,8
2019-02-12,22
2019-02-13,11
2019-02-14,73
2019-02-15,56
2019-02-16,78
2019-02-17,31
2019-02-18,19
2019-02-19,21
2019-02-20,19
2019-02-21,30
2019-02-22,55
2019-02-23,80
2019-02-24,36
2019-02-25,13
2019-02-26,33
2019-02-27,23
2019-02-28,29
2019-03-01,70
2019-03-02,94
2019-03-03,37
2019-03-04,15
2019-03-05,18
2019-03-06,16
2019-03-07,21
2019-03-08,55
2019-03-09,75
2019-03-10,36
2019-03-11,14
2019-03-12,23
2019-03-13,17
2019-03-14,24
2019-03-15,44
2019-03-16,79
2019-03-17,43
2019-03-18,13
2019-03-19,24
2019-03-20,22
2019-03-21,18
2019-03-22,44
2019-03-23,80
2019-03-24,40
2019-03-25,8
2019-03-26,17
2019-03-27,23
2019-03-28,34
2019-03-29,66
2019-03-30,76
2019-03-31,62
2019-04-01,14
2019-04-02,17
2019-04-03,16
2019-04-04,25
2019-04-05,61
2019-04-06,87
2019-04-07,32
2019-04-08,19
2019-04-09,19
2019-04-10,22
2019-04-11,29
2019-04-12,52
2019-04-13,67
2019-04-14,51
2019-04-15,24
2019-04-16,22
2019-04-17,30
2019-04-18,30
2019-04-19,44
2019-04-20,40
2019-04-21,35
2019-04-22,39
2019-04-23,20
2019-04-24,17
2019-04-25,18
2019-04-26,36
2019-04-27,75
2019-04-28,30
2019-04-29,18
2019-04-30,27
2019-05-01,21
2019-05-02,28
2019-05-03,60
2019-05-04,77
2019-05-05,48
2019-05-06,35
2019-05-07,14
2019-05-08,20
2019-05-09,23
2019-05-10,42
2019-05-11,87
2019-05-12,56
2019-05-13,16
2019-05-14,13
2019-05-15,48
2019-05-16,42
2019-05-17,60
2019-05-18,82
2019-05-19,40
2019-05-20,19
2019-05-21,17
2019-05-22,21
2019-05-23,27
2019-05-24,47
2019-05-25,86
2019-05-26,38
2019-05-27,40
2019-05-28,26
2019-05-29,18
2019-05-30,18
2019-05-31,52
2019-06-01,57
2019-06-02,38
2019-06-03,10
2019-06-04,31
2019-06-05,16
2019-06-06,16
2019-06-07,61
2019-06-08,80
2019-06-09,40
2019-06-10,16
2019-06-11,13
2019-06-12,22
2019-06-13,20
2019-06-14,52
2019-06-15,73
2019-06-16,53
2019-06-17,23
2019-06-18,22
2019-06-19,19
